depth,RF SK Validation ACC,RF SK Test ACC,RF SK Validation MCC,RF SK Test MCC
1,0.6678743961352657,0.7872340425531915,0.3344698584499434,0.5756419341601482
2,0.7210144927536232,0.7659574468085106,0.4419641603903142,0.5349506156386411
3,0.7222222222222222,0.7872340425531915,0.44444773594917814,0.5777466648897324
4,0.7330917874396136,0.7925531914893617,0.4679773610569591,0.5859358744255436
5,0.7367149758454107,0.7819148936170213,0.47952010946270507,0.5641171541346606
6,0.7367149758454107,0.7553191489361702,0.4780308634420057,0.5111012519999519
7,0.7415458937198067,0.7606382978723404,0.4867263973736603,0.5215422745773277
8,0.7342995169082126,0.7446808510638298,0.47427301446302,0.4898053664999539
9,0.7367149758454107,0.7606382978723404,0.47643011022188686,0.5213060955662004
10,0.7282608695652174,0.7127659574468085,0.4588003604934382,0.4264014327112209
11,0.7246376811594203,0.7287234042553191,0.4522194208023701,0.4576799552413284
12,0.7089371980676329,0.7340425531914894,0.4184036353429584,0.4681910919173118
13,0.7089371980676329,0.7340425531914894,0.41779652567870545,0.4681910919173118
14,0.7125603864734299,0.7446808510638298,0.4245533706716815,0.4898053664999539
15,0.6932367149758454,0.7659574468085106,0.3860723775888954,0.5323971374999499
16,0.6811594202898551,0.7606382978723404,0.3615967431349482,0.52368243196505
17,0.7016908212560387,0.7393617021276596,0.40259543302352296,0.4789673950199948
18,0.6932367149758454,0.7606382978723404,0.3856993699488356,0.5213060955662004
19,0.717391304347826,0.7712765957446809,0.43392191091984805,0.5428297143559941
20,0.6944444444444444,0.7659574468085106,0.38795944413466565,0.5323971374999499
