depth,SK Validation ACC,SK Test ACC,SK Validation MCC,SK Test MCC
1,0.59903,0.66489,0.23885,0.37563
2,0.66908,0.77660,0.33688,0.55521
3,0.69203,0.75532,0.38877,0.51110
4,0.69928,0.75000,0.40098,0.50025
5,0.70411,0.76064,0.41649,0.52202
6,0.70169,0.75000,0.41537,0.50346
7,0.69324,0.77660,0.39606,0.55776
8,0.69565,0.78723,0.39496,0.57564
9,0.69203,0.80319,0.38672,0.60669
10,0.68237,0.76596,0.36844,0.53240
11,0.67029,0.77660,0.34180,0.55332
12,0.66667,0.75532,0.33601,0.51075
13,0.65217,0.76064,0.30490,0.52154
14,0.66667,0.76596,0.33445,0.53191
15,0.65097,0.71809,0.30312,0.43818
16,0.63889,0.71277,0.27712,0.42563
17,0.63285,0.72340,0.26561,0.44844
18,0.62802,0.72872,0.25499,0.45872
19,0.64251,0.70745,0.28421,0.41605
20,0.62560,0.74468,0.25015,0.49215
